bio,job_description,label
digital marketing,digital marketing specialist,1
digital marketing,content creator,1
digital marketing,social media manager,1
digital marketing,data entry,0
digital marketing,software engineer,0
illustration,illustrator,1
illustration,graphic designer,1
illustration,content creator,1
illustration,data entry,0
illustration,software engineer,0
account management,account manager,1
account management,data entry,1
account management,customer care,1
account management,graphic design,0
account management,software engineer,0
data entry,data entry,1
data entry,virtual assistant,1
data entry,customer support,1
data entry,content moderator,1
graphic design,graphic designer,1
graphic design,visual content creator,1
graphic design,illustrator,1
software engineering,software engineer,1
software engineering,web developer,1
software engineering,quality assurance tester,1
software engineering,technical writer,1
virtual assistance,virtual assistant,1
virtual assistance,data entry,1
virtual assistance,customer support,1
customer service,customer support,1
customer service,telesales,1
customer service,call center representative,1
teaching,online tutor,1
teaching,teaching assistant,1
teaching,content creator,1
research,research assistant,1
research,data entry,1
research,online research,1
administrative,administrative assistant,1
administrative,office assistant,1
administrative,appointment scheduler,1
writing,copywriter,1
writing,content writer,1
writing,technical writer,1
data analysis,data analyst,1
data analysis,research assistant,1
data analysis,statistician,1
marketing,digital marketer,1
marketing,content writer,1
marketing,SEO specialist,1
marketing,community manager,1
healthcare,medical coder,1
healthcare,medical transcriptionist,1
healthcare,telemedicine support,1
finance,accountant,1
finance,financial analyst,1
finance,bookkeeper,1
sales,sales support,1
sales,sales assistant,1
sales,account manager,1
administrative,document controller,1
administrative,clerical assistant,1
remote work,data entry,1
remote work,virtual assistant,1
remote work,content moderator,1
remote work,customer care,1
remote work,transcriptionist,1
manufacturing,assembly line worker,1
manufacturing,packaging worker,1
crafting,crafting,1
crafting,artisanal work,1
tailoring,tailor,1
tailoring,clothing repair,1
security,security guard,1
security,remote security monitor,1
library,library assistant,1
library,online research assistant,1
IT,IT support technician,1
IT,web administrator,1
IT,network administrator,1
